Start_Year,Net_ROIC_Random_Percent,Net_ROIC_Fixed_Percent,Net_ROIC_Worst_Percent,Net_ROIC_Best_Percent,Net_ROIC_Below_200DMA_Percent
1950,100.95844735286335,101.61095598918175,105.94926686728104,96.59931871290824,544.0334186594913
1951,131.78963508217007,132.54973838994357,137.67280432289436,126.78910263916983,556.1623538064326
1952,93.85318808532986,94.65054330437874,99.07397021179827,89.90184176982514,414.48364660720955
1953,107.59524970874601,108.12579657567072,113.03218584879176,102.9449548710887,431.1178316499732
1954,125.11559527247822,125.42238006245807,130.65499119572655,119.46378827008115,558.1404476880705
1955,112.33951129909951,112.78802386369604,118.00275431529046,107.38956308741943,359.1982808932886
1956,154.07425773301492,154.95342626974974,161.22333925624355,148.55631450674602,369.5111083984375
1957,177.62937680023984,178.30858971489607,185.0735569280846,171.2847814374775,421.69325230813024
1958,167.64819964672603,168.4158929938961,174.80885342695754,161.40054162194485,506.33129283694404
1959,183.97199288298197,184.77412521295383,191.9048897506971,177.3951923683947,405.95737713394396
1960,244.4132491462666,245.57146771494845,254.28396032548414,236.34770171572748,487.7265717925948
1961,205.70798144922446,206.4411389029016,214.16233356156206,198.21598434009942,392.4981151243153
1962,267.9250029009495,269.54938115077084,279.1587271520983,259.6412881260966,490.444507278706
1963,265.0784444477943,266.15011392329853,275.23576059147325,256.2944329481082,565.6125840955443
1964,271.5529294749775,272.91199378491643,282.40587863330614,262.843664794375,492.9198208512997
1965,250.8376621582438,251.54186810323571,260.870411780362,241.86085211239578,436.90669172100104
1966,350.75568302845573,351.9362074673157,364.1386976712505,339.2374578955289,560.0900319271896
1967,415.9700440512977,418.1186404730634,432.0611361917982,403.4309484871964,737.6568898315605
1968,544.3792568886847,546.9039859761621,564.7990774987165,528.5787955800034,914.3514280851999
1969,681.5175652678315,681.4187686602677,703.5701432683419,658.9154395275716,1099.5998495415217
1970,786.0709514943462,787.9719208277977,812.8806724922129,761.7602351707104,1482.9023969302248
1971,645.6556829058304,648.1522946116547,668.2089407816809,626.1091709027783,1234.0204233731897
1972,511.5421972192875,514.4977472596711,531.3199311648192,496.3774911685972,1014.7489852105009
1973,345.9091299570444,346.8482973829074,359.59159260598267,333.4261768737309,636.6825798175014
1974,432.4922330333025,434.04399627492216,449.0623346429123,417.93936629265966,1033.8024343891127
1975,433.68505081038285,436.3348844200423,449.7118159323069,420.39021328707935,1630.3255683947868
1976,405.4882936499763,406.8381954429057,419.4996856863189,392.30041465047367,1155.3197992910739
1977,430.8885331758535,432.7495424281766,446.4501337552766,417.52751397369866,1241.8165466197884
1978,403.0416349495927,405.1973013695462,418.17237602451985,390.1207199333904,1470.1026925351448
1979,180.68552822942704,181.71674158032013,189.04446511671773,173.31109815179724,807.7889447236181
1980,214.60628922007206,215.405325475002,224.00943573892297,205.8972708980678,959.779474101099
1981,222.76968126662834,223.3664916161124,232.28104365665772,214.16517022127076,831.0334598761516
1982,193.50573627801572,194.09253260527933,202.1034580091217,185.3483048416317,947.5634682355997
1983,195.72989236386914,196.81380743940576,204.64246430722127,188.30030663831363,891.4423920009792
1984,248.41763154992194,249.43644201369074,259.1903233197696,239.60225715923576,1006.6698228173431
1985,250.08404086209688,250.00143161825955,259.8541755750652,239.86961603872973,1151.0784533706187
1986,212.48752444105529,213.95640832494095,223.2402376420966,204.9008442882573,882.805178347414
1987,215.06833310189225,215.69944292405623,225.11437445849626,206.84459806922177,701.9881246436875
1988,248.07079142376503,249.20681201472252,258.6682786609629,239.97495267927675,998.4429640367761
1989,198.42623680977542,198.98075805923006,207.14020746920002,191.0827464028664,773.071450223177
1990,254.56567836969327,255.24696594109395,265.2664622449031,246.04307721930772,800.5407351302944
1991,278.9002218037488,279.67403174932434,289.99646096732687,269.5682110891179,1066.8075007392154
1992,342.22465510344165,343.0690940870154,355.20552982849966,331.4827733693846,1040.3436389182514
1993,228.6588139483508,229.2729150404869,238.69140127879209,220.27749838074695,783.9849040780251
1994,276.59430646751434,277.5926340242333,288.84085387593285,266.7514096403631,912.8747859761454
1995,326.4600039605965,328.4617845656304,341.5956606255457,315.7047212459389,344.20429027871336
