Start_Year,Net_ROIC_Percent
1950,101.61095598918175
1951,132.54973838994357
1952,94.65054330437874
1953,108.12579657567072
1954,125.42238006245807
1955,112.78802386369604
1956,154.95342626974974
1957,178.30858971489607
1958,168.4158929938961
1959,184.77412521295383
1960,245.57146771494845
1961,206.4411389029016
1962,269.54938115077084
1963,266.15011392329853
1964,272.91199378491643
1965,251.54186810323571
1966,351.9362074673157
1967,418.1186404730634
1968,546.9039859761621
1969,681.4187686602677
1970,787.9719208277977
1971,648.1522946116547
1972,514.4977472596711
1973,346.8482973829074
1974,434.04399627492216
1975,436.3348844200423
1976,406.8381954429057
1977,432.7495424281766
1978,405.1973013695462
1979,181.71674158032013
1980,215.405325475002
1981,223.3664916161124
1982,194.09253260527933
1983,196.81380743940576
1984,249.43644201369074
1985,250.00143161825955
1986,213.95640832494095
1987,215.69944292405623
1988,249.20681201472252
1989,198.98075805923006
1990,255.24696594109395
1991,279.67403174932434
1992,343.0690940870154
1993,229.2729150404869
1994,277.5926340242333
1995,328.4617845656304
